id,organization,country,signed_year,sector
268,Future Systems,Germany,2018,Agriculture
269,BioGen Labs,Canada,2025,Environment
270,AeroTech,Singapore,2014,Agriculture
271,National Science Institute,India,2013,Biotechnology
272,Future Systems,Malaysia,2012,Transport
273,Oceanic Research,Canada,2020,Biotechnology
274,HealthPlus,South Korea,2020,Biotechnology
275,Quantum Analytics,Brazil,2014,Energy
276,Quantum Analytics,Thailand,2021,Agriculture
277,Skyline Tech,UAE,2023,Cybersecurity
278,Global Research Center,USA,2020,AI & ML
279,EduSmart,India,2023,Space Research
280,Future Systems,Singapore,2014,Space Research
281,National Science Institute,UAE,2025,Transport
282,HealthPlus,South Korea,2021,Environment
283,Skyline Tech,Brazil,2025,Environment
284,InnoSoft,France,2015,Biotechnology
285,National Science Institute,Malaysia,2012,Cybersecurity
286,AgroFuture,China,2014,Infrastructure
287,Oceanic Research,South Africa,2016,Technology
288,Future Systems,Germany,2012,Infrastructure
289,Oceanic Research,USA,2010,AI & ML
290,AgroFuture,Thailand,2022,Technology
291,Skyline Tech,Thailand,2016,Energy
292,Oceanic Research,UK,2018,Technology
293,InnoSoft,South Africa,2025,Agriculture
294,National Science Institute,Japan,2021,AI & ML
295,Green Energy Corp,India,2019,Energy
296,Global Research Center,South Korea,2012,Healthcare
297,Green Energy Corp,Singapore,2010,Space Research
298,National Science Institute,India,2015,Transport
299,Skyline Tech,Netherlands,2014,Education
300,HealthPlus,Australia,2015,Education
301,Quantum Analytics,Thailand,2014,Cybersecurity
302,DataVision,Spain,2021,Technology
303,TechNova,India,2025,Transport
304,EduSmart,Germany,2018,Cybersecurity
305,AeroTech,India,2011,Environment
306,National Science Institute,Canada,2021,Education
307,Green Energy Corp,Spain,2024,Transport
308,Oceanic Research,UK,2011,Energy
309,National Science Institute,UAE,2013,Energy
310,DataVision,Netherlands,2018,Agriculture
311,AgroFuture,China,2015,Space Research
312,Green Energy Corp,Russia,2021,Space Research
313,Quantum Analytics,Germany,2018,Energy
314,Green Energy Corp,India,2022,Environment
315,AeroTech,Singapore,2025,Cybersecurity
316,Skyline Tech,Spain,2010,Healthcare
317,InnoSoft,Japan,2024,AI & ML
318,Global Research Center,India,2012,Infrastructure
319,InnoSoft,China,2016,Environment
320,Global Research Center,Australia,2015,Agriculture
321,AeroTech,Malaysia,2013,Energy
322,National Science Institute,India,2023,Environment
323,Skyline Tech,UAE,2013,Healthcare
324,HealthPlus,Spain,2025,Environment
325,EduSmart,Thailand,2015,Transport
326,National Science Institute,Italy,2010,Transport
327,EduSmart,UK,2014,Infrastructure
328,Quantum Analytics,Thailand,2015,Space Research
329,Global Research Center,Netherlands,2011,Healthcare
330,Oceanic Research,Thailand,2014,Technology
331,TechNova,Australia,2018,Healthcare
332,Oceanic Research,Australia,2022,Agriculture
333,Quantum Analytics,Thailand,2010,Education
334,Oceanic Research,Brazil,2012,Transport
335,EduSmart,South Korea,2025,AI & ML
336,AgroFuture,Spain,2015,Transport
337,EduSmart,Italy,2014,Cybersecurity
338,Skyline Tech,Thailand,2015,Education
339,Quantum Analytics,Netherlands,2018,AI & ML
340,Global Research Center,UAE,2024,Healthcare
341,Quantum Analytics,Thailand,2012,Biotechnology
342,EduSmart,Russia,2022,Energy
343,Global Research Center,France,2010,AI & ML
344,EduSmart,Netherlands,2023,Technology
345,AgroFuture,Japan,2013,Biotechnology
346,Global Research Center,Spain,2011,Space Research
347,Oceanic Research,South Africa,2013,Environment
348,BioGen Labs,Spain,2014,Energy
349,Oceanic Research,Malaysia,2010,Transport
350,Oceanic Research,Italy,2023,AI & ML
351,AeroTech,UK,2023,Agriculture
352,EduSmart,Spain,2022,AI & ML
353,AeroTech,Thailand,2013,Agriculture
354,Green Energy Corp,Japan,2018,Energy
355,HealthPlus,India,2012,Cybersecurity
356,Future Systems,Malaysia,2023,Environment
357,Future Systems,Canada,2010,AI & ML
358,DataVision,USA,2013,AI & ML
359,InnoSoft,USA,2022,Space Research
360,National Science Institute,Canada,2020,Energy
361,Green Energy Corp,Singapore,2013,Cybersecurity
362,Global Research Center,Italy,2018,Space Research
363,Future Systems,South Africa,2023,Cybersecurity
364,Quantum Analytics,Singapore,2018,Healthcare
365,National Science Institute,Russia,2016,Technology
366,Green Energy Corp,South Africa,2025,Environment
367,Global Research Center,Singapore,2025,Transport
368,Future Systems,Brazil,2021,Agriculture
369,Skyline Tech,Russia,2014,Technology
370,AgroFuture,France,2017,Infrastructure
371,HealthPlus,Australia,2013,Biotechnology
372,EduSmart,Netherlands,2022,AI & ML
373,Skyline Tech,UAE,2011,Environment
374,Global Research Center,Russia,2010,Cybersecurity
375,Skyline Tech,Germany,2014,Technology
376,HealthPlus,Malaysia,2023,Healthcare
377,BioGen Labs,Germany,2018,Transport
378,EduSmart,Singapore,2012,Environment
379,Quantum Analytics,UK,2022,Transport
380,Oceanic Research,Russia,2019,Environment
381,DataVision,Malaysia,2011,Infrastructure
382,Skyline Tech,Australia,2025,Technology
383,HealthPlus,USA,2016,Biotechnology
384,AgroFuture,Netherlands,2019,Healthcare
385,EduSmart,UK,2017,AI & ML
386,Quantum Analytics,Australia,2011,Environment
387,AeroTech,India,2010,Agriculture
388,Global Research Center,Germany,2018,Biotechnology
389,Skyline Tech,Russia,2021,Healthcare
390,National Science Institute,Russia,2022,Cybersecurity
391,Quantum Analytics,Canada,2010,Agriculture
392,DataVision,Germany,2012,Cybersecurity
393,InnoSoft,Brazil,2021,Transport
394,AeroTech,China,2017,Healthcare
395,Quantum Analytics,Canada,2024,Healthcare
396,Oceanic Research,Russia,2010,AI & ML
397,Future Systems,Australia,2023,Technology
398,InnoSoft,France,2012,Healthcare
399,InnoSoft,Brazil,2020,AI & ML
400,BioGen Labs,Netherlands,2018,Cybersecurity
401,Oceanic Research,South Africa,2018,Environment
402,DataVision,South Korea,2022,Biotechnology
403,Quantum Analytics,Spain,2017,Education
404,Skyline Tech,UAE,2024,Environment
405,National Science Institute,South Korea,2010,Agriculture
406,HealthPlus,France,2018,Education
407,BioGen Labs,Russia,2017,Technology
408,National Science Institute,India,2020,Education
409,Green Energy Corp,Singapore,2010,Environment
410,DataVision,China,2017,Transport
411,Future Systems,Germany,2022,Cybersecurity
412,National Science Institute,UAE,2012,Environment
413,InnoSoft,Australia,2025,Environment
414,AeroTech,Singapore,2016,Cybersecurity
415,Oceanic Research,Thailand,2018,AI & ML
416,Global Research Center,Canada,2025,Space Research
417,DataVision,Canada,2017,Education
418,DataVision,India,2018,Education
419,EduSmart,India,2016,Biotechnology
420,AgroFuture,India,2021,Biotechnology
421,Global Research Center,France,2013,Education
422,Oceanic Research,Germany,2025,Technology
423,Quantum Analytics,USA,2011,AI & ML
424,AgroFuture,Spain,2021,Transport
425,Quantum Analytics,UAE,2025,Biotechnology
426,Oceanic Research,Thailand,2018,Technology
427,HealthPlus,Australia,2018,Transport
428,Green Energy Corp,India,2014,AI & ML
429,TechNova,Netherlands,2023,AI & ML
430,HealthPlus,South Africa,2011,Cybersecurity
431,InnoSoft,Singapore,2022,AI & ML
432,AgroFuture,Australia,2024,Biotechnology
433,BioGen Labs,Netherlands,2024,Cybersecurity
434,AeroTech,USA,2010,Technology
435,National Science Institute,Canada,2022,Education
436,Quantum Analytics,France,2020,Energy
437,AeroTech,Malaysia,2018,Cybersecurity
438,Global Research Center,South Africa,2018,Space Research
439,EduSmart,China,2025,Environment
440,Quantum Analytics,UAE,2021,Healthcare
441,Global Research Center,Spain,2023,Transport
442,EduSmart,Italy,2021,Healthcare
443,AeroTech,Russia,2018,Energy
444,HealthPlus,Australia,2014,Healthcare
445,Quantum Analytics,India,2013,Cybersecurity
446,DataVision,China,2017,Transport
447,InnoSoft,Italy,2022,Space Research
448,EduSmart,Japan,2014,AI & ML
449,HealthPlus,USA,2015,Transport
450,Green Energy Corp,Spain,2014,Healthcare
451,Oceanic Research,Netherlands,2020,Biotechnology
452,Skyline Tech,Spain,2019,Agriculture
453,Future Systems,South Africa,2011,Environment
454,Green Energy Corp,France,2015,AI & ML
455,TechNova,Canada,2018,Transport
456,HealthPlus,France,2024,Environment
457,DataVision,UAE,2018,Biotechnology
458,AeroTech,Singapore,2018,Cybersecurity
459,AeroTech,USA,2023,Transport
460,BioGen Labs,Singapore,2016,Cybersecurity
461,Quantum Analytics,Thailand,2015,Technology
462,Skyline Tech,Brazil,2021,Transport
463,AeroTech,Netherlands,2025,Technology
464,Skyline Tech,South Korea,2012,Biotechnology
465,Green Energy Corp,Malaysia,2019,AI & ML
466,HealthPlus,Japan,2015,Energy
467,National Science Institute,UAE,2023,Infrastructure
468,National Science Institute,Malaysia,2022,Technology
469,AgroFuture,Germany,2012,Education
470,Global Research Center,UAE,2017,Biotechnology
471,AeroTech,UAE,2019,Energy
472,DataVision,China,2022,Infrastructure
473,Future Systems,South Korea,2021,Technology
474,DataVision,Thailand,2024,Education
475,Green Energy Corp,Australia,2015,Environment
476,AgroFuture,USA,2014,Biotechnology
477,DataVision,India,2018,Space Research
478,DataVision,Germany,2016,Education
479,Global Research Center,Russia,2013,Transport
480,BioGen Labs,Germany,2025,Space Research
481,InnoSoft,UK,2010,Cybersecurity
482,Skyline Tech,Russia,2012,Education
483,BioGen Labs,China,2014,Healthcare
484,BioGen Labs,Russia,2019,Agriculture
485,EduSmart,India,2019,Agriculture
486,HealthPlus,Japan,2014,Cybersecurity
487,InnoSoft,Australia,2010,Space Research
488,TechNova,Singapore,2020,AI & ML
489,AgroFuture,Spain,2024,Space Research
490,AgroFuture,South Africa,2018,Technology
491,InnoSoft,South Korea,2014,Education
492,DataVision,South Africa,2015,Technology
493,Quantum Analytics,Malaysia,2024,Healthcare
494,National Science Institute,Thailand,2023,Cybersecurity
495,InnoSoft,South Africa,2019,AI & ML
496,Oceanic Research,Singapore,2025,Transport
497,InnoSoft,India,2012,Agriculture
498,HealthPlus,Brazil,2021,Transport
499,Green Energy Corp,China,2014,Energy
500,Future Systems,USA,2010,Biotechnology
501,InnoSoft,Japan,2021,Cybersecurity
502,Future Systems,Spain,2010,Education
503,DataVision,Spain,2025,AI & ML
504,Future Systems,USA,2023,Agriculture
505,Skyline Tech,Brazil,2017,Space Research
506,Skyline Tech,USA,2021,Cybersecurity
507,EduSmart,Italy,2023,Space Research
508,Green Energy Corp,India,2015,Agriculture
509,DataVision,Russia,2022,Transport
510,EduSmart,China,2012,Cybersecurity
511,Green Energy Corp,India,2018,Healthcare
512,Future Systems,South Africa,2018,Biotechnology
513,Green Energy Corp,Canada,2012,Energy
514,Global Research Center,Japan,2019,Cybersecurity
515,BioGen Labs,South Korea,2024,Infrastructure
516,Future Systems,Malaysia,2025,Transport
517,EduSmart,UAE,2010,Transport
518,Global Research Center,UK,2010,Energy
519,Global Research Center,France,2019,Biotechnology
520,Future Systems,Japan,2024,Education
521,DataVision,USA,2017,Education
522,BioGen Labs,Japan,2010,Technology
523,HealthPlus,Canada,2020,Education
524,Green Energy Corp,Brazil,2025,AI & ML
525,AeroTech,South Korea,2011,AI & ML
526,AeroTech,Germany,2014,Cybersecurity
527,TechNova,China,2022,Environment
528,BioGen Labs,South Africa,2025,Space Research
529,Global Research Center,Canada,2018,Environment
530,AgroFuture,Russia,2010,Education
531,BioGen Labs,India,2022,Healthcare
532,Skyline Tech,South Korea,2017,Education
533,DataVision,UK,2016,Infrastructure
534,HealthPlus,France,2016,Space Research
535,HealthPlus,Russia,2019,Agriculture
536,Oceanic Research,UAE,2015,Environment
537,National Science Institute,UK,2013,Biotechnology
538,Future Systems,Spain,2019,Agriculture
539,EduSmart,Singapore,2011,Environment
540,AgroFuture,Canada,2013,Infrastructure
541,EduSmart,Italy,2020,Environment
542,TechNova,Australia,2018,Environment
543,Quantum Analytics,France,2022,Transport
544,Skyline Tech,India,2010,Cybersecurity
545,TechNova,Thailand,2025,Environment
546,DataVision,Malaysia,2014,Biotechnology
547,AeroTech,Germany,2017,AI & ML
548,Global Research Center,Spain,2012,Cybersecurity
549,National Science Institute,Malaysia,2020,Education
550,Oceanic Research,UK,2011,Cybersecurity
551,AeroTech,Japan,2013,Education
552,Global Research Center,Spain,2017,Biotechnology
553,AeroTech,South Africa,2021,Healthcare
554,Skyline Tech,South Korea,2016,Environment
555,TechNova,Russia,2021,Cybersecurity
556,DataVision,Japan,2018,Agriculture
557,Oceanic Research,UK,2025,Biotechnology
558,DataVision,South Korea,2019,Space Research
559,InnoSoft,Spain,2016,Healthcare
560,Quantum Analytics,Australia,2021,AI & ML
561,AeroTech,South Korea,2018,Space Research
562,AgroFuture,Malaysia,2015,Education
563,BioGen Labs,Netherlands,2014,Technology
564,HealthPlus,Brazil,2018,Agriculture
565,InnoSoft,Singapore,2024,AI & ML
566,TechNova,Netherlands,2022,Infrastructure
567,DataVision,Australia,2010,Healthcare
568,Quantum Analytics,Singapore,2017,Infrastructure
569,AeroTech,Germany,2022,Agriculture
570,EduSmart,Netherlands,2025,Energy
571,Skyline Tech,South Africa,2014,Energy
572,Quantum Analytics,Brazil,2020,Space Research
573,Green Energy Corp,UAE,2013,Healthcare
574,BioGen Labs,Netherlands,2012,AI & ML
575,TechNova,Japan,2015,AI & ML
576,AgroFuture,UK,2016,Space Research
577,BioGen Labs,Spain,2016,Energy
578,BioGen Labs,UK,2022,Technology
579,National Science Institute,Spain,2018,Environment
580,TechNova,Singapore,2017,Energy
581,Quantum Analytics,Germany,2010,Technology
582,Oceanic Research,Canada,2025,Space Research
583,Oceanic Research,Germany,2024,Environment
584,Skyline Tech,UK,2021,Healthcare
585,InnoSoft,Italy,2021,Biotechnology
586,Skyline Tech,UK,2018,Infrastructure
587,InnoSoft,UK,2012,Agriculture
588,AgroFuture,Brazil,2012,Space Research
589,EduSmart,Netherlands,2013,Education
590,BioGen Labs,India,2022,Transport
591,EduSmart,Canada,2017,Energy
592,Quantum Analytics,Australia,2023,Infrastructure
593,DataVision,France,2021,Energy
594,National Science Institute,South Korea,2023,Environment
595,Oceanic Research,France,2015,Technology
596,Skyline Tech,Australia,2022,Healthcare
597,InnoSoft,UAE,2015,AI & ML
598,InnoSoft,Malaysia,2024,AI & ML
599,Oceanic Research,Singapore,2020,Cybersecurity
600,InnoSoft,UAE,2021,Cybersecurity
601,Green Energy Corp,Italy,2020,Infrastructure
602,Quantum Analytics,India,2016,AI & ML
603,Green Energy Corp,South Africa,2018,Environment
604,AeroTech,South Korea,2024,Healthcare
605,Green Energy Corp,USA,2011,Agriculture
606,Future Systems,Malaysia,2010,Biotechnology
607,InnoSoft,Japan,2019,Environment
608,TechNova,Brazil,2017,Environment
609,EduSmart,UAE,2010,Cybersecurity
610,Skyline Tech,China,2014,Biotechnology
611,BioGen Labs,UK,2024,Space Research
612,AeroTech,Japan,2014,Biotechnology
613,Future Systems,Singapore,2017,Biotechnology
614,EduSmart,China,2019,Agriculture
615,BioGen Labs,Thailand,2022,Transport
616,Quantum Analytics,Canada,2012,Healthcare
617,DataVision,UAE,2025,Cybersecurity
618,Global Research Center,Spain,2013,AI & ML
619,Quantum Analytics,Brazil,2011,AI & ML
620,DataVision,Thailand,2022,Space Research
621,BioGen Labs,UK,2020,Space Research
622,AeroTech,Italy,2023,Agriculture
623,Oceanic Research,France,2017,Infrastructure
624,DataVision,Malaysia,2010,Infrastructure
625,National Science Institute,Russia,2011,Healthcare
626,Future Systems,Netherlands,2011,Energy
627,AeroTech,South Africa,2014,Agriculture
628,AeroTech,Netherlands,2017,Education
629,Global Research Center,UK,2022,Healthcare
630,HealthPlus,Malaysia,2012,Education
631,EduSmart,Italy,2019,Healthcare
632,Skyline Tech,Russia,2014,Energy
633,Global Research Center,UAE,2012,Environment
634,HealthPlus,Thailand,2011,Biotechnology
635,InnoSoft,Russia,2018,Healthcare
636,BioGen Labs,Russia,2023,Education
637,Skyline Tech,Japan,2014,Environment
638,HealthPlus,South Africa,2016,Cybersecurity
639,HealthPlus,Russia,2016,Cybersecurity
640,InnoSoft,Malaysia,2017,Agriculture
641,EduSmart,Germany,2018,Biotechnology
642,Skyline Tech,Italy,2020,Cybersecurity
643,National Science Institute,Thailand,2012,Environment
644,BioGen Labs,Italy,2023,Education
645,AeroTech,Singapore,2016,Healthcare
646,AeroTech,Singapore,2010,Biotechnology
647,Skyline Tech,Brazil,2015,Healthcare
648,AeroTech,Malaysia,2024,Energy
649,Quantum Analytics,Japan,2024,Space Research
650,TechNova,India,2016,Environment
651,National Science Institute,Singapore,2014,Technology
652,Skyline Tech,Germany,2013,Agriculture
653,DataVision,UK,2017,Cybersecurity
